scope,author_id,work_id,doi,title_slug,reason
global,,W4409556117,10.21203/rs.3.rs-6244542/v1,,Preprint duplication
global,,W4389164736,,,Invalid year (0) record
global,,W3157724657,,,Exclude 1905 record from stats
global,,W4416939443,,,Unknown author record
global,,W2413169760,,,Unknown author record
global,,W4389164736,,,Unknown author record
global,,W3157724657,,,Unknown author record
global,,W4415957094,,,Unknown author record
global,,W4409894999,,,Unknown author record
global,,W7124358305,,,Unknown author record
global,,W4388960641,,,Unknown author record
global,,,10.1016/B978-0-443-31448-3.00031-8,,Not a publication
global,,,10.5281/zenodo.18086589,,Not a publication
global,,,10.5281/zenodo.18093142,,Not a publication
global,,,10.5281/zenodo.18086589,,Not a publication
global,,,10.5281/zenodo.18093151,,Not a publication